Repository Name,Count namespaces,Sum LOC,Average LOC,Pareto category
crossvertise_ActionMailerNext,12,4768,110.8837209,30
d60_Cirqus,57,14985,52.95053004,10
danbarua_Nancy.Hal,9,1442,29.42857143,30
danbarua_NEventSocket,11,9391,79.58474576,40
danielmoore_WpfIgniter,6,3450,60.52631579,30
DanTup_DartVS,11,9374,36.47470817,30
DarkAutumn_WinterBot,14,17780,88.01980198,20
DaveSenn_PortableExtensions,3,16796,103.6790123,50
developerforce_Force.com-Toolkit-for-NET,11,2910,29.1,20
djungelorm_krpc,34,35189,86.03667482,10
dnGrep_dnGrep,20,26360,121.4746544,20
dotliquid_dotliquid,12,5380,55.46391753,20
DotNetAnalyzers_StyleCopAnalyzers,28,53084,110.5916667,40
dotnet_corefxlab,126,91613,132.3887283,10
dotnet_orleans,341,141045,66.28054511,10
DropNet_DropNet,12,5115,89.73684211,30
DropNet_DropNetRT,7,1652,71.82608696,40
dubeaud_bugnet,59,129965,179.0151515,30
duplicati_duplicati,114,82063,85.57142857,20
dvsekhvalnov_jose-jwt,9,6309,56.33035714,30
dzharii_swd-recorder,17,24264,77.52076677,20
EamonNerbonne_ExpressionToCode,3,2954,57.92156863,20
EHVAG_demoinfo,9,6081,61.42424242,20
elasticsearch_elasticsearch-net,154,185125,33.81896237,10
elastic_elasticsearch-net,154,185125,33.81896237,10
elbandit_PPPDDD,175,11695,18.1881804,10
Esri_joint-military-symbology-xml,2,14695,123.487395,30
eswann_Mapster,6,5424,65.34939759,30
ethomson_infinity.net,6,3549,46.69736842,30
etishor_Metrics.NET,24,10917,49.62272727,10
exactonline_ClientSDK,42,17523,61.26923077,30
exceptionless_Exceptionless,50,15963,38.93414634,20
exceptionless_Foundatio,34,15834,51.57654723,10
exxeleron_qSharp,1,3888,94.82926829,60
ezet_evelib,34,23524,65.34444444,20
flickr-downloadr_flickr-downloadr-gtk,22,7647,71.46728972,30
flumbee_mobiledb,19,3627,31.81578947,20
Fortis-Collection_fortis,27,5321,45.87068966,10
frabert_NetLua,3,3628,78.86956522,20
frankhommers_Hangfire.PostgreSql,4,2726,41.3030303,40
FransBouma_LinqToSQL2,13,54359,129.1187648,20
garuma_bikr,2,2383,68.08571429,60
Geaz_sharpDox,44,10900,61.93181818,20
GeoJSON-Net_GeoJSON.Net,5,2304,65.82857143,30
GeorgeHahn_SOVND,24,8323,56.61904762,10
Geta_EPi.Extensions,8,2604,56.60869565,10
ghuntley_Conditions,1,11722,689.5294118,60
googleads_googleads-dotnet-lib,132,454770,67.51336105,20
grokys_Perspex,172,180492,82.19125683,10
HangfireIO_Hangfire,29,32294,80.33333333,20
helios-io_helios,45,24104,75.79874214,20
helix-toolkit_helix-toolkit,241,374659,116.1733333,10
HenkMollema_Dapper-FluentMap,9,1229,47.26923077,10
Hihaj_SlackCommander,8,1549,32.27083333,20
HubertJ_QuandlCS,7,1924,83.65217391,10
hudl_HudlFfmpeg,50,8239,28.41034483,10
hudl_Mjolnir,11,2670,47.67857143,40
i4004_Simplify,52,8662,41.24761905,20
IdentityModel_AuthorizationServer,30,6051,39.54901961,20
IdentityModel_Thinktecture.IdentityModel.45,34,2268,26.37209302,10
IdentityServer_IdentityServer3,29,29298,64.96230599,20
IdentityServer_IdentityServer3.AccessTokenValidation,2,1221,58.14285714,30
imazen_resizer,131,2102396,1639.934477,10
Impyy_SharpTox,8,10157,49.06763285,40
inflatablefriends_lastfm,26,5757,32.71022727,30
int6_CoiniumServ,75,16809,45.18548387,10
int6_uhttpsharp,13,3227,27.11764706,20
InvisibleShield_FFXIV-Zodiac-Glass,6,2576,67.78947368,30
IoFx_IoFx,16,2904,31.22580645,30
j6mes_httplib,11,2962,40.57534247,40
jacobdufault_forge,14,10543,51.17961165,20
jacobdufault_fullserializer,9,15330,78.61538462,40
jamesmontemagno_MyExpenses,20,2593,55.17021277,10
jefking_King.Service,12,3941,42.37634409,20
jeske_SimpleScene,12,21993,77.9893617,20
jestonedev_ActivityManager,17,11486,109.3904762,10
jni4net_jni4net,68,88745,91.02051282,20
joancaron_OpenWeatherMap-Api-Net,2,3384,35.25,60
joelweiss_ChangeTracking,2,1797,57.96774194,30
johnkors_IdentityServer3.Contrib.Localization,6,1022,63.875,30
JonPSmith_GenericServices,10,3229,35.87777778,20
jonsequitur_Its.Cqrs,34,30154,90.55255255,20
Jossef_edsdk-wrapper,10,4441,51.63953488,30
Jroland_kafka-net,5,4738,46.91089109,30
jstedfast_MailKit,41,321199,312.1467444,30
JudahGabriel_RavenDB.ModernMvcStarterKit,4,1727,44.28205128,40
justeat_JustSaying,20,6355,41.26623377,20
justeat_ZendeskApiClient,14,6988,29.48523207,20
JustGiving_JustGiving.EventStore.Http,6,1957,39.93877551,10
kbilsted_StatePrinter,6,2077,48.30232558,30
Keboo_PebbleSharp,31,7222,41.74566474,10
kentcb_PCLMock,9,4828,81.83050847,30
kria_Tfs2Slack,11,3383,33.16666667,20
kria_TfsNotificationRelay,11,3383,33.16666667,20
KSP-KOS_KOS,46,60816,91.04191617,20
KSP-RO_RealismOverhaul,4,1794,71.76,20
KvanTTT_MathExpressions.NET,2,4740,197.5,30
KyleGobel_Hipchat-CS,7,2088,34.8,30
LHCGreg_animerecs,24,11412,47.3526971,20
ligershark_AzureJobs,6,1217,50.70833333,10
LightBlueProject_LightBlue,28,6349,39.43478261,20
Litipk_ColorSharp,6,6770,165.1219512,20
LogFlow_LogFlow,11,1370,21.74603175,20
logsearch_LogSearchShipper,8,2893,52.6,20
louthy_language-ext,54,257432,155.3602897,10
Lunch-box_SimpleOrderRouting,9,1197,26.02173913,20
madelson_MedallionShell,5,4119,93.61363636,40
madskristensen_JSON-Intellisense,6,2354,39.89830508,10
maingi4_ProtoBuf.Wcf,9,3021,46.47692308,30
MakoLab_RomanticWeb,46,29128,59.0831643,10
mandest_Nap,53,7377,47.59354839,20
manicdigger_manicdigger,14,30262,123.0162602,30
marco-calautti_Rainbow,16,8106,74.36697248,30
MartinChavez_School-of-CSharp,21,1154,19.89655172,20
martincostello_sqllocaldb,5,7887,146.0555556,20
mathnet_mathnet-filtering,22,4674,55.64285714,30
MatterHackers_agg-sharp,127,157492,110.2113366,20
MatterHackers_MatterControl,77,210112,166.0964427,20
MatterHackers_MatterSlice,8,15818,135.1965812,40
maxtoroq_MvcCodeRouting,23,8775,49.29775281,30
Merchello_Merchello,199,161429,91.25438101,10
meshmash_Plankton,3,3374,198.4705882,20
mgravell_protobuf-net,98,87420,42.0692974,20
michaellperry_Assisticant,40,21171,54.70542636,30
Microsoft_Win2D,21,37142,146.8063241,20
mike-ward_Markdown-Edit,11,7484,49.89333333,30
mike-ward_tweetz-desktop,10,4731,35.30597015,20
Mimetis_SyncWinRT,41,101014,119.5431953,20
mmanela_diffplex,11,4212,91.56521739,20
mmbot_mmbot,21,12102,79.61842105,20
mono_CocosSharp,147,543308,86.14364991,20
mono_roslyn,592,803170,129.9627832,10
moritzuehling_DemoInfo-public,9,6081,61.42424242,20
mrsharpoblunto_BobbyTables,3,8220,152.2222222,60
MSOpenTech_azure-activedirectory-jwt-token-handler-for-dotnet,3,5695,118.6458333,40
MSOpenTech_azure-activedirectory-library-for-dotnet,6,1795,74.79166667,30
mspnp_semantic-logging,40,11867,83.57042254,20
Myrcon_Procon-2-Potato,123,33170,59.87364621,10
nachmore_unBand,17,9711,64.74,20
NakedObjectsGroup_NakedObjectsFramework,142,72872,38.51585624,20
neolithos_neolua,7,26111,186.5071429,40
nerdfury_Slack.Webhooks,5,2068,41.36,20
NetTopologySuite_NetTopologySuite,62,71492,123.6885813,10
NetTopologySuite_ProjNet4GeoAPI,7,9253,138.1044776,30
neuecc_LINQ-to-GameObject-for-Unity,3,6536,363.1111111,20
neuecc_UniRx,14,73147,75.87863071,20
nhibernate_NHibernate-Search,20,8865,59.1,20
nhibernate_NHibernate.Spatial,20,11380,75.86666667,30
nHydrate_nHydrate,113,138006,177.8427835,10
NiclasOlofsson_MiNET,35,77217,58.14533133,20
NicolasDorier_NBitcoin,58,135838,133.1745098,20
NicoVermeir_XamlStyler,12,2695,39.05797101,20
nodatime_nodatime,30,37732,107.8057143,20
NonFactors_MVC.Grid,1,1387,30.15217391,60
NServiceKit_NServiceKit.OrmLite,54,45277,143.7365079,20
NServiceKit_NServiceKit.Redis,8,12741,135.5425532,20
ntent-ad_kafka4net,11,6581,73.94382022,30
NuGet_json-ld.net,4,10663,213.26,40
NuGet_NuGet.PackageManagement,13,56566,200.5886525,30
NuGet_NuGet.VisualStudioExtension,25,27592,90.16993464,30
objorke_PropertyTools,4,1590,24.84375,40
objorke_QuantityTypes,6,5698,78.05479452,30
OctopusDeploy_Octodiff,6,2275,39.9122807,30
oenning_SharpSapRfc,8,1713,36.44680851,20
OfficeDev_PnP,444,352848,96.2487725,10
OmniSharp_omnisharp-server,72,8178,34.65254237,10
OmniSharp_OmniSharpServer,72,8178,34.65254237,10
onovotny_BouncyCastle-PCL,460,956676,115.2205227,20
OpenCoverUI_OpenCover.UI,16,5300,43.44262295,20
OpenCover_opencover,31,9519,67.99285714,10
OpenSharp_UnitWrappers,56,17032,87.34358974,20
openssl-net_openssl-net,9,15544,101.5947712,30
OrchardCMS_Brochard,796,94929,33.19195804,10
OsmSharp_GTFS,16,9868,116.0941176,30
OsmSharp_OsmSharp,45,37489,115.3507692,20
owin_museum-piece-gate,23,13579,113.1583333,20
oxyplot_oxyplot,13,59758,149.395,20
ParticularLabs_GitVersion,26,8948,44.51741294,20
Particular_docs.particular.net,316,22657,18.64773663,20
Particular_GitVersion,26,8948,44.51741294,20
PayPal_PayPal-NET-SDK,15,32178,60.59887006,30
philiplaureano_Deflector.NET,3,2085,74.46428571,20
phogue_Potato,123,33170,59.87364621,10
PistonDevelopers_VisualRust,38,20171,66.35197368,20
playgameservices_play-games-plugin-for-unity,18,16651,98.52662722,20
PolarbearDK_Miracle.FileZilla.Api,1,2701,61.38636364,60
PolarisTeam_PolarisServer,11,5562,43.79527559,30
POPWorldMedia_POPForums,31,17256,48.20111732,10
praeclarum_Bind,8,3103,68.95555556,20
PrintsCharming_ObjectHydrator,3,15502,292.490566,30
ProtoTest_ProtoTest.Golem,18,10452,90.88695652,20
pschichtel_LyricsReloaded,7,3537,48.45205479,30
psmacchia_NDepend.Path,5,12010,131.978022,40
pvginkel_PdfiumViewer,6,8637,97.04494382,10
qianlifeng_Wox,35,11683,60.53367876,20
Quobject_EngineIoClientDotNet,32,26044,84.01290323,40
RadicalFx_radical,24,19593,86.69469027,10
Ravadre_Stacks,19,8466,60.04255319,20
RazorGenerator_RazorGenerator,28,6045,43.80434783,10
re-motion_Relinq,101,40952,44.61002179,20
remyvd_NodaMoney,3,2517,228.8181818,20
rexm_Handlebars.Net,4,5238,48.05504587,20
richardszalay_mockhttp,8,5352,70.42105263,50
RickStrahl_WestWindWebSurge,7,9101,149.1967213,30
riganti_redwood,93,84159,59.30866808,10
riipah_vocadb,160,70887,47.41605351,10
RIT-MAGIC_JustPressPlay,7,13340,72.5,30
rnicoll_ncrypto-currency-exchange,11,5127,39.43846154,30
RobertSmith_Orchestrate.NET,3,1686,73.30434783,40
rogeralsing_akka.net,98,143229,63.7423231,10
rogeralsing_Pigeon,145,211471,71.05880376,10
Rohansi_Mond,20,15704,59.26037736,20
ronnycsharp_WPFLight,42,33442,88.70557029,10
rowanmiller_Demo-EF7,11,2299,54.73809524,10
rprouse_GitHubExtension,17,3643,31.13675214,30
rscustom_rocksmith-custom-song-toolkit,56,52321,125.470024,10
runceel_ReactiveProperty,32,28926,165.2914286,30
Runt-Editor_Runt,23,5107,48.17924528,20
SamHurne_gw2pao,100,35231,94.96226415,20
scommisso_vimeo-dot-net,9,5869,54.85046729,40
SergeyTeplyakov_ReSharperContractExtensions,17,8185,40.925,30
ServiceStackV3_ServiceStack.Contrib,27,6278,60.95145631,20
ServiceStack_ServiceStackVS,21,6368,47.87969925,20
shadowsocks_shadowsocks-csharp,18,15272,121.2063492,20
Shazwazza_Smidge,13,6571,57.13913043,20
SimonCropp_Chevron,10,7443,206.75,20
Sitefinity_feather,35,21345,102.6201923,20
smolyakoff_essential-templating,13,2357,38.01612903,20
SnowflakePowered_snowflake,24,2284,40.07017544,10
somdoron_AsyncIO,3,1730,78.63636364,20
somedave_FluentBootstrap,34,8405,37.69058296,20
Sonarr_Sonarr,303,90063,38.90410367,20
SparkDevNetwork_Rock,215,549277,113.5808519,20
SphtKr_JSONAPI.NET,21,5909,37.87820513,10
splunk_splunk-sdk-csharp-pcl,20,34637,131.6996198,20
sschmid_Entitas-CSharp,19,8224,32.63492063,30
StefanOssendorf_SecurityHeadersMiddleware,6,4584,64.56338028,30
StephenCleary_Comparers,6,2074,50.58536585,20
Swarmops_Swarmops,105,116754,132.0746606,10
Taggersoft_SharpMTProto,18,7726,22.32947977,30
Taggersoft_SharpTelegram,2,4268,9.023255814,30
tavis-software_Tavis.PrivateCache,2,1032,57.33333333,60
telerik_JustMockLite,158,69816,66.3019943,10
terrajobst_NQuery,12,40319,97.86165049,30
terrajobst_nuproj,28,2109,28.5,20
tfsaggregator_tfsaggregator,19,6022,46.68217054,20
TheBerkin_Rant,27,19288,99.42268041,20
thinktecture_Thinktecture.IdentityServer.v3.EntityFramework,9,4132,53.66233766,20
TimSchlechter_Swagger.Codegen.Net,10,5247,86.01639344,20
tmenier_Flurl,6,4426,81.96296296,30
tonyqus_toxy,13,11754,56.7826087,30
tonysneed_trackable-entities,26,11764,69.60946746,20
Tulpep_Active-Directory-Object-Picker,2,1185,33.85714286,30
tumtumtum_Shaolinq,20,66699,121.7135036,20
tunnelvisionlabs_antlr4cs,26,50197,107.4882227,30
TwoMaKing_EApp,111,143404,166.1691773,20
Tynamix_ObjectFiller.NET,2,4702,82.49122807,30
uComponents_nuPickers,61,4051,29.78676471,10
uComponents_uComponents,110,47523,111.8188235,10
uhaciogullari_SimpleMvcSitemap,13,1778,33.54716981,20
urasandesu_Prig,15,6940,45.35947712,30
UweKeim_ZetaLongPaths,14,26424,275.25,30
vknet_vk,42,74767,81.53435115,10
voat_voat,70,40473,57.57183499,10
VocaDB_vocadb,160,70887,47.41605351,10
Warewolf-ESB_Warewolf-ESB,704,406667,115.3992622,10
webformsmvp_webformsmvp,19,4415,38.39130435,20
welegan_RedisSessionProvider,4,2086,115.8888889,20
weltkante_managed-lzma,102,191027,127.4362909,30
wildbunny_metaexchange,15,8321,56.22297297,30
wnmp_wnmp,7,3274,155.9047619,30
worldexplorer_SquareOne,152,507043,153.1389308,20
wudixiaop_ShaderlabVS,7,5863,43.75373134,20
xamarin_SignaturePad,7,9643,125.2337662,50
xamarin_xamarin-forms-samples,786,1380323,368.2825507,20
xanathar_moonsharp,203,221347,65.15955255,20
XeeX_LeagueOfLegendsAPI,60,5885,23.92276423,20
xenolightning_AudioSwitcher,26,13961,44.18037975,30
XForms_Xamarin-Forms-Labs,232,295094,176.1755224,20
XLabs_Xamarin-Forms-Labs,232,295094,176.1755224,20
xplicit_HyperFastCgi,16,4302,60.5915493,40
xunit_resharper-xunit,3,1586,66.08333333,20
xunit_samples,12,1612,27.3220339,20
xunit_samples.xunit,12,1612,27.3220339,20
xunit_xamarin.xunit,3,14034,701.7,20
yevhen_Orleankka,49,9225,23.0625,20
YoloDev_elephanet,6,1638,39.95121951,30
Yonom_CupCake,52,18470,42.07289294,20
yysun_git-tools,15,11245,130.755814,30
ZeroK-RTS_Zero-K-Infrastructure,99,138865,92.76219105,20
ziyasal_InfluxDB.Net,12,1956,32.6,30
